
Date:3/2/2010
Time:12:39:12
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-6.168375917e-005,0.0000000000)	(0.9999383162,0.0000000000)
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
Initial Conditions
0: A-0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0: Q:1: (1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	
2: (1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	(1,0)	
0: Q_1=z*Q_0-A(0,0)*Q_0
1: Q_1=z*Q_0-A(0,0)*Q_0
A(1,0)=L_1(Q_1,zQ_0):0.125:0.125/L_1(Q_0,Q_0):1=0.125
A(1,1)=L_2(Q_1,zQ_0):1-A(1,0)*L_2(Q_0,Q_0):200:-24/L_2(Q_1,Q_0):101=-0.2376237624

0: Q_2=z*Q_1-A(1,0)*Q_0-A(1,1)*Q_1
1: Q_2=z*Q_1-A(1,0)*Q_0-A(1,1)*Q_1
A(2,0)=L_1(Q_2,zQ_0):-0.0327970297:-0.0327970297/L_1(Q_0,Q_0):1=-0.0327970297
A(2,1)=L_2(Q_2,zQ_0):0.7376237624-A(2,0)*L_2(Q_0,Q_0):200:7.297029703/L_2(Q_1,Q_0):101=0.07224781884
A(2,2)=L_1(Q_2,zQ_1):0.02421101485-A(2,1)*L_1(Q_1,Q_1):0.125-A(2,0)*L_1(Q_0,Q_1):-7.860095692e-096:0.0151800375/L_1(Q_2,Q_1):-0.0327970297=-0.4628479357

0: Q_3=z*Q_2-A(2,0)*Q_0-A(2,1)*Q_1-A(2,2)*Q_2
1: Q_3=z*Q_2-A(2,0)*Q_0-A(2,1)*Q_1-A(2,2)*Q_2
A(3,1)=L_2(Q_3,zQ_0):0.8879716981:0.8879716981/L_2(Q_1,Q_0):101=0.008791798991
A(3,2)=L_1(Q_3,zQ_1):-0.002340064858-A(3,1)*L_1(Q_1,Q_1):0.125:-0.003439039732/L_1(Q_2,Q_1):-0.0327970297=0.1048582681
A(3,3)=L_2(Q_3,zQ_1):1.188089623-A(3,2)*L_2(Q_2,Q_1):0.7376237624-A(3,1)*L_2(Q_1,Q_1):51.5:0.6579660244/L_2(Q_3,Q_1):0.8879716981=0.7409763462

0: Q_4=z*Q_3-A(3,1)*Q_1-A(3,2)*Q_2-A(3,3)*Q_3
1: Q_4=z*Q_3-A(3,1)*Q_1-A(3,2)*Q_2-A(3,3)*Q_3
A(4,2)=L_1(Q_4,zQ_1):0.002573041169:0.002573041169/L_1(Q_2,Q_1):-0.0327970297=-0.07845348167
A(4,3)=L_2(Q_4,zQ_1):0.03589807437-A(4,2)*L_2(Q_2,Q_1):0.7376237624:0.09376722669/L_2(Q_3,Q_1):0.8879716981=0.1055970893
A(4,4)=L_1(Q_4,zQ_2):-0.002713824981-A(4,3)*L_1(Q_3,Q_2):-0.002340064858-A(4,2)*L_1(Q_2,Q_2):0.01641766126:-0.001178698256/L_1(Q_4,Q_2):0.002573041169=-0.4580953739

0: Q_5=z*Q_4-A(4,2)*Q_2-A(4,3)*Q_3-A(4,4)*Q_4
1: Q_5=z*Q_4-A(4,2)*Q_2-A(4,3)*Q_3-A(4,4)*Q_4
A(5,3)=L_2(Q_5,zQ_1):0.03308499244:0.03308499244/L_2(Q_3,Q_1):0.8879716981=0.03725906187
A(5,4)=L_1(Q_5,zQ_2):0.0001712922127-A(5,3)*L_1(Q_3,Q_2):-0.002340064858:0.000258480834/L_1(Q_4,Q_2):0.002573041169=0.1004573254
A(5,5)=L_2(Q_5,zQ_2):0.07210226677-A(5,4)*L_2(Q_4,Q_2):0.03589807437-A(5,3)*L_2(Q_3,Q_2):1.399092798:0.01636715709/L_2(Q_5,Q_2):0.03308499244=0.4947003426

0: Q_6=z*Q_5-A(5,3)*Q_3-A(5,4)*Q_4-A(5,5)*Q_5
1: Q_6=z*Q_5-A(5,3)*Q_3-A(5,4)*Q_4-A(5,5)*Q_5
A(6,4)=L_1(Q_6,zQ_2):-0.0001613046691:-0.0001613046691/L_1(Q_4,Q_2):0.002573041169=-0.06269027914
A(6,5)=L_2(Q_6,zQ_2):0.001982298671-A(6,4)*L_2(Q_4,Q_2):0.03589807437:0.004232758974/L_2(Q_5,Q_2):0.03308499244=0.1279359209
A(6,6)=L_1(Q_6,zQ_3):0.0001865504171-A(6,5)*L_1(Q_5,Q_3):0.0001712922127-A(6,4)*L_1(Q_4,Q_3):-0.001522898187:6.916507771e-005/L_1(Q_6,Q_3):-0.0001613046691=-0.428785342

0: Q_7=z*Q_6-A(6,4)*Q_4-A(6,5)*Q_5-A(6,6)*Q_6
1: Q_7=z*Q_6-A(6,4)*Q_4-A(6,5)*Q_5-A(6,6)*Q_6
A(7,5)=L_2(Q_7,zQ_2):0.001697225351:0.001697225351/L_2(Q_5,Q_2):0.03308499244=0.05129894933
A(7,6)=L_1(Q_7,zQ_3):-1.100637827e-005-A(7,5)*L_1(Q_5,Q_3):0.0001712922127:-1.979348881e-005/L_1(Q_6,Q_3):-0.0001613046691=0.1227087158
A(7,7)=L_2(Q_7,zQ_3):0.005479259813-A(7,6)*L_2(Q_6,Q_3):0.001982298671-A(7,5)*L_2(Q_5,Q_3):0.08741558723:0.0007516867087/L_2(Q_7,Q_3):0.001697225351=0.4428915161

0: Q_8=z*Q_7-A(7,5)*Q_5-A(7,6)*Q_6-A(7,7)*Q_7
1: Q_8=z*Q_7-A(7,5)*Q_5-A(7,6)*Q_6-A(7,7)*Q_7
A(8,6)=L_1(Q_8,zQ_3):9.613371726e-006:9.613371726e-006/L_1(Q_6,Q_3):-0.0001613046691=-0.05959760358
A(8,7)=L_2(Q_8,zQ_3):0.0001114962424-A(8,6)*L_2(Q_6,Q_3):0.001982298671:0.0002296364928/L_2(Q_7,Q_3):0.001697225351=0.1353011211
A(8,8)=L_1(Q_8,zQ_4):-2.372018352e-005-A(8,7)*L_1(Q_7,Q_4):-1.100637827e-005-A(8,6)*L_1(Q_6,Q_4):0.0003060733615:-3.989769333e-006/L_1(Q_8,Q_4):9.613371726e-006=-0.4150228917

0: Q_9=z*Q_8-A(8,6)*Q_6-A(8,7)*Q_7-A(8,8)*Q_8
1: Q_9=z*Q_8-A(8,6)*Q_6-A(8,7)*Q_7-A(8,8)*Q_8
A(9,7)=L_2(Q_9,zQ_3):9.239560781e-005:9.239560781e-005/L_2(Q_7,Q_3):0.001697225351=0.05443921031
A(9,8)=L_1(Q_9,zQ_4):6.687319618e-007-A(9,7)*L_1(Q_7,Q_4):-1.100637827e-005:1.267910503e-006/L_1(Q_8,Q_4):9.613371726e-006=0.1318903023
A(9,9)=L_2(Q_9,zQ_4):0.0002835658147-A(9,8)*L_2(Q_8,Q_4):0.0001114962424-A(9,7)*L_2(Q_7,Q_4):0.004221655974:3.903692413e-005/L_2(Q_9,Q_4):9.239560781e-005=0.4224976171

0: Q_10=z*Q_9-A(9,7)*Q_7-A(9,8)*Q_8-A(9,9)*Q_9
1: Q_10=z*Q_9-A(9,7)*Q_7-A(9,8)*Q_8-A(9,9)*Q_9
A(10,8)=L_1(Q_10,zQ_4):-5.622395937e-007:-5.622395937e-007/L_1(Q_8,Q_4):9.613371726e-006=-0.05848516106
A(10,9)=L_2(Q_10,zQ_4):6.30905727e-006-A(10,8)*L_2(Q_8,Q_4):0.0001114962424:1.282993296e-005/L_2(Q_9,Q_4):9.239560781e-005=0.1388586889
A(10,10)=L_1(Q_10,zQ_5):1.451640773e-006-A(10,9)*L_1(Q_9,Q_5):6.687319618e-007-A(10,8)*L_1(Q_8,Q_5):-1.93163424e-005:2.290621328e-007/L_1(Q_10,Q_5):-5.622395937e-007=-0.4074101777

0: Q_11=z*Q_10-A(10,8)*Q_8-A(10,9)*Q_9-A(10,10)*Q_10
1: Q_11=z*Q_10-A(10,8)*Q_8-A(10,9)*Q_9-A(10,10)*Q_10
A(11,9)=L_2(Q_11,zQ_4):5.134983743e-006:5.134983743e-006/L_2(Q_9,Q_4):9.239560781e-005=0.05557605891
A(11,10)=L_1(Q_11,zQ_5):-3.962738439e-008-A(11,9)*L_1(Q_9,Q_5):6.687319618e-007:-7.67928713e-008/L_1(Q_10,Q_5):-5.622395937e-007=0.1365838909
A(11,11)=L_2(Q_11,zQ_5):2.108942112e-005-A(11,10)*L_2(Q_10,Q_5):6.30905727e-006-A(11,9)*L_2(Q_9,Q_5):0.0003258918152:2.115922811e-006/L_2(Q_11,Q_5):5.134983743e-006=0.4120602746

0: Q_12=z*Q_11-A(11,9)*Q_9-A(11,10)*Q_10-A(11,11)*Q_11
1: Q_12=z*Q_11-A(11,9)*Q_9-A(11,10)*Q_10-A(11,11)*Q_11
A(12,10)=L_1(Q_12,zQ_5):3.259008183e-008:3.259008183e-008/L_1(Q_10,Q_5):-5.622395937e-007=-0.05796475773
A(12,11)=L_2(Q_12,zQ_5):3.579658883e-007-A(12,10)*L_2(Q_10,Q_5):6.30905727e-006:7.236688645e-007/L_2(Q_11,Q_5):5.134983743e-006=0.1409291442
A(12,12)=L_1(Q_12,zQ_6):-1.18974209e-007-A(12,11)*L_1(Q_11,Q_6):-3.962738439e-008-A(12,10)*L_1(Q_10,Q_6):1.729780892e-006:-1.312322529e-008/L_1(Q_12,Q_6):3.259008183e-008=-0.4026754323

0: Q_13=z*Q_12-A(12,10)*Q_10-A(12,11)*Q_11-A(12,12)*Q_12
1: Q_13=z*Q_12-A(12,10)*Q_10-A(12,11)*Q_11-A(12,12)*Q_12
A(13,11)=L_2(Q_13,zQ_5):2.880865683e-007:2.880865683e-007/L_2(Q_11,Q_5):5.134983743e-006=0.05610272256
A(13,12)=L_1(Q_13,zQ_6):2.318042773e-009-A(13,11)*L_1(Q_11,Q_6):-3.962738439e-008:4.541246926e-009/L_1(Q_12,Q_6):3.259008183e-008=0.1393444468
A(13,13)=L_2(Q_13,zQ_6):1.207462011e-006-A(13,12)*L_2(Q_12,Q_6):3.579658883e-007-A(13,11)*L_2(Q_11,Q_6):1.85491429e-005:1.169240339e-007/L_2(Q_13,Q_6):2.880865683e-007=0.4058642323

0: Q_14=z*Q_13-A(13,11)*Q_11-A(13,12)*Q_12-A(13,13)*Q_13
1: Q_14=z*Q_13-A(13,11)*Q_11-A(13,12)*Q_12-A(13,13)*Q_13
A(14,12)=L_1(Q_14,zQ_6):-1.879826667e-009:-1.879826667e-009/L_1(Q_12,Q_6):3.259008183e-008=-0.05768094345
A(14,13)=L_2(Q_14,zQ_6):2.033980071e-008-A(14,12)*L_2(Q_12,Q_6):3.579658883e-007:4.098761087e-008/L_2(Q_13,Q_6):2.880865683e-007=0.1422753276
A(14,14)=L_1(Q_14,zQ_7):7.13725877e-009-A(14,13)*L_1(Q_13,Q_7):2.318042773e-009-A(14,12)*L_1(Q_12,Q_7):-1.050000596e-007:7.509559746e-010/L_1(Q_14,Q_7):-1.879826667e-009=-0.3994814988

0: Q_15=z*Q_14-A(14,12)*Q_12-A(14,13)*Q_13-A(14,14)*Q_14
1: Q_15=z*Q_14-A(14,12)*Q_12-A(14,13)*Q_13-A(14,14)*Q_14
A(15,13)=L_2(Q_15,zQ_6):1.624422263e-008:1.624422263e-008/L_2(Q_13,Q_6):2.880865683e-007=0.05638660185
A(15,14)=L_1(Q_15,zQ_7):-1.34590767e-010-A(15,13)*L_1(Q_13,Q_7):2.318042773e-009:-2.652973219e-010/L_1(Q_14,Q_7):-1.879826667e-009=0.1411286086
A(15,15)=L_2(Q_15,zQ_7):8.44476872e-008-A(15,14)*L_2(Q_14,Q_7):2.033980071e-008-A(15,13)*L_2(Q_13,Q_7):1.330989308e-006:6.527195221e-009/L_2(Q_15,Q_7):1.624422263e-008=0.4018164101

0: Q_16=z*Q_15-A(15,13)*Q_13-A(15,14)*Q_14-A(15,15)*Q_15
1: Q_16=z*Q_15-A(15,13)*Q_13-A(15,14)*Q_14-A(15,15)*Q_15
A(16,14)=L_1(Q_16,zQ_7):1.081080345e-010:1.081080345e-010/L_1(Q_14,Q_7):-1.879826667e-009=-0.05750957595
A(16,15)=L_2(Q_16,zQ_7):1.156719501e-009-A(16,14)*L_2(Q_14,Q_7):2.033980071e-008:2.326452815e-009/L_2(Q_15,Q_7):1.624422263e-008=0.1432172452
A(16,16)=L_1(Q_16,zQ_8):-5.20556755e-010-A(16,15)*L_1(Q_15,Q_8):-1.34590767e-010-A(16,14)*L_1(Q_14,Q_8):7.969818053e-009:-4.294017956e-011/L_1(Q_16,Q_8):1.081080345e-010=-0.3971969314

0: Q_17=z*Q_16-A(16,14)*Q_14-A(16,15)*Q_15-A(16,16)*Q_16
1: Q_17=z*Q_16-A(16,14)*Q_14-A(16,15)*Q_15-A(16,16)*Q_16
A(17,15)=L_2(Q_17,zQ_7):9.187105904e-010:9.187105904e-010/L_2(Q_15,Q_7):1.624422263e-008=0.05655614378
A(17,16)=L_1(Q_17,zQ_8):7.778508236e-012-A(17,15)*L_1(Q_15,Q_8):-1.34590767e-010:1.5390443e-011/L_1(Q_16,Q_8):1.081080345e-010=0.1423616947
A(17,17)=L_2(Q_17,zQ_8):4.900374625e-009-A(17,16)*L_2(Q_16,Q_8):1.156719501e-009-A(17,15)*L_2(Q_15,Q_8):7.725325881e-008:3.665556637e-010/L_2(Q_17,Q_8):9.187105904e-010=0.3989892656

0: Q_18=z*Q_17-A(17,15)*Q_15-A(17,16)*Q_16-A(17,17)*Q_17
1: Q_18=z*Q_17-A(17,15)*Q_15-A(17,16)*Q_16-A(17,17)*Q_17
A(18,16)=L_1(Q_18,zQ_8):-6.205217476e-012:-6.205217476e-012/L_1(Q_16,Q_8):1.081080345e-010=-0.05739830074
A(18,17)=L_2(Q_18,zQ_8):6.581933261e-011-A(18,16)*L_2(Q_16,Q_8):1.156719501e-009:1.322130664e-010/L_2(Q_17,Q_8):9.187105904e-010=0.1439115514
A(18,18)=L_1(Q_18,zQ_9):3.087728077e-011-A(18,17)*L_1(Q_17,Q_9):7.778508236e-012-A(18,16)*L_1(Q_16,Q_9):-4.756894459e-010:2.454097706e-012/L_1(Q_18,Q_9):-6.205217476e-012=-0.3954893951

0: Q_19=z*Q_18-A(18,16)*Q_16-A(18,17)*Q_17-A(18,18)*Q_18
1: Q_19=z*Q_18-A(18,16)*Q_16-A(18,17)*Q_17-A(18,18)*Q_18
A(19,17)=L_2(Q_19,zQ_8):5.205889812e-011:5.205889812e-011/L_2(Q_17,Q_8):9.187105904e-010=0.05666517689
A(19,18)=L_1(Q_19,zQ_9):-4.481734698e-013-A(19,17)*L_1(Q_17,Q_9):7.778508236e-012:-8.889440149e-013/L_1(Q_18,Q_9):-6.205217476e-012=0.1432575117
A(19,19)=L_2(Q_19,zQ_9):3.293783093e-010-A(19,18)*L_2(Q_18,Q_9):6.581933261e-011-A(19,17)*L_2(Q_17,Q_9):5.281660551e-009:2.066296611e-011/L_2(Q_19,Q_9):5.205889812e-011=0.3969151644

0: Q_20=z*Q_19-A(19,17)*Q_17-A(19,18)*Q_18-A(19,19)*Q_19
1: Q_20=z*Q_19-A(19,17)*Q_17-A(19,18)*Q_18-A(19,19)*Q_19
A(20,18)=L_1(Q_20,zQ_9):3.556954228e-013:3.556954228e-013/L_1(Q_18,Q_9):-6.205217476e-012=-0.0573219914
A(20,19)=L_2(Q_20,zQ_9):3.746680529e-012-A(20,18)*L_2(Q_18,Q_9):6.581933261e-011:7.519575747e-012/L_2(Q_19,Q_9):5.205889812e-011=0.144443621
A(20,20)=L_1(Q_20,zQ_10):-2.125167582e-012-A(20,19)*L_1(Q_19,Q_10):-4.481734698e-013-A(20,18)*L_1(Q_18,Q_10):3.349897037e-011:-1.402040916e-013/L_1(Q_20,Q_10):3.556954228e-013=-0.3941689507

